Name,lon,lat
Stairs Mid,76.82638202,23.06041808
AB113,76.82513259,23.06407957
AB117,76.8362391,23.06407957
AB116,76.83322418,23.06563461
AB115,76.83135446,23.06554962
AB114,76.82923587,23.06562459
Auditorium,76.82353197,23.06554962
AB112,76.81864292,23.06614938
Lift A,76.81728434,23.05810983
Lift B,76.81728434,23.06484983
AB111,76.81892624,23.06438502
Stairs B,76.81834368,23.06443288
Strirs C,76.81868718,23.05821716
AB123,76.83277086,23.06042957
AB119,76.83282811,23.06374811
Optical Instruments Lab(AB110),76.82277882,23.0637044
Stationary Shop,76.82254328,23.06045371
Library,76.82760733,23.06045371
Stairs D,76.83673439,23.06500466
Boys Washroom(New Wing),76.83714658,23.06234996
Stairs C,76.83749989,23.05893669
AB127,76.8322003,23.05801563
Faculty Cabin(AB125),76.83696993,23.05666113
AB128,76.83064035,23.05802389
AB110,76.82507531,23.05796145
Studio 2(AB102),76.82289659,23.05774473
Faculty Cabin (AB104),76.81883357,23.0564444
Girls Washroom A,76.81853915,23.06164564
Girls Washroom B,76.81848027,23.06294591
AB122,76.83714658,23.06061624
Computer Studio 2(AB107),76.8183625,23.05991192
DRDO/ISRO Sponseed Lab(AB124),76.83685216,23.05882833
AB103,76.82107118,23.05790727
AB126,76.83414349,23.05801563
