name,lon,lat
Water Cooler,76.86687786,23.05194825
Faculty Cabin C,76.88922937,23.047885
Faculty Cabin A,76.85662887,23.04793516
Girls Washroom ,76.88781196,23.0594223
Boys Washroom B,76.85799177,23.06157916
Boys Washroom A,76.85793725,23.05947246
AB-231,76.87363783,23.04999188
AB-229,76.88105199,23.04994172
AB-228,76.88421391,23.04994172
AB-224,76.88824809,23.05535927
AB-218,76.88366875,23.06549152
AB-216,76.87712684,23.06539121
AB-214,76.87341976,23.06539121
AB-213,76.86502432,23.06529089
AB-210,76.85897305,23.06368583
AB-206,76.85771919,23.05550976
AB-201,76.86949462,23.04989155
