name,lon,lat,val
Boys Washroom A,76.85793725,23.05947246,b
Boys Washroom B,76.85799177,23.06157916,b
Girls Washroom ,76.88781196,23.0594223,g
Water Cooler,76.86687786,23.05194825,w
Faculty Cabin A,76.85662887,23.04793516,f
Faculty Cabin C,76.88922937,23.047885,f
AB-231,76.87363783,23.04999188,a1
AB-224,76.88824809,23.05535927,a1
AB-206,76.85771919,23.05550976,a1
AB-218,76.88366875,23.06549152,b1
AB-206,76.85771919,23.05550976,b1
AB-229,76.88105199,23.04994172,b1
AB-218,76.88366875,23.06549152,c1
AB-224,76.88824809,23.05535927,c1
AB-231,76.87363783,23.04999188,c1
AB-201,76.86949462,23.04989155,a2
AB-206,76.85771919,23.05550976,a2
AB-213,76.86502432,23.06529089,a2
AB-214,76.87341976,23.06539121,a2
AB-216,76.87712684,23.06539121,a2
AB-218,76.88366875,23.06549152,a2
AB-224,76.88824809,23.05535927,a2
AB-228,76.88421391,23.04994172,a2
AB-229,76.88105199,23.04994172,d1
AB-224,76.88824809,23.05535927,d1
AB-216,76.87712684,23.06539121,d1
AB-210,76.85897305,23.06368583,d1
AB-224,76.88824809,23.05535927,e1
AB-206,76.85771919,23.05550976,f1
AB-213,76.86502432,23.06529089,f1
AB-218,76.88366875,23.06549152,f1
AB-224,76.88824809,23.05535927,f1
AB-213,76.86502432,23.06529089,d2
AB-216,76.87712684,23.06539121,d2
AB-218,76.88366875,23.06549152,d2
AB-224,76.88824809,23.05535927,d2
